policy,complete,missing,N,E,T_h
A,True,,52,112.18015400989155,24.812716888544344
B,True,,35,68.35065758300475,15.460424611754055
C,True,,18,73.93490910229882,9.399653953032317
A+B,True,,35,68.35065758300475,15.460424611754055
A+B+C,True,,18,59.131296494139775,9.104448855127403
