rule,N,E,T_h,A,B,C
R1,18,59.131296494139775,9.104448855127403,0,9,9
R2,19,59.0339425635166,9.56666042817052,0,11,8
R3,18,59.131296494139775,9.104448855127403,0,9,9
R4,18,59.131296494139775,9.104448855127403,0,9,9
