area,cells,height,passed
S001,136,223.05661010742188,True
S002,323,258.9542541503906,True
S003,338,511.80413818359375,True
S004,276,348.2391662597656,True
S005,181,276.410888671875,True
S006,116,316.09783935546875,True
S007,213,461.9731750488281,True
S008,321,322.9093322753906,True
S009,253,243.22891235351562,True
S010,203,385.63653564453125,True
S011,123,245.36175537109375,True
S012,354,363.3009948730469,True
S013,228,349.18182373046875,True
S014,203,541.9473876953125,True
S015,286,521.7992553710938,True
